longitude,latitude,name
-123.51800, 38.87400, "POINT ARENA HOT SPRINGS              111"
-120.91700, 41.82800, "POTHOLE SPRING                        78"
-122.50500, 39.19800, "PSEUDO COMPLEXION SPRING              81"
-122.59700, 39.05300, "QUIGLEY SODA SPRING                   82"
-119.07400, 37.61800, "REDS MEADOW HOT SPRINGS              115"
-116.15300, 35.87900, "RESTING SPRING                        80"
-122.70100, 38.95800, "RIVIERA BEACH SPRING                  93"
-122.62700, 37.88000, "ROCKY POINT SPRINGS                   90"
-121.30800, 37.43200, "SALT GRASS SPRINGS                    73"
-117.51100, 33.58900, "SAN JUAN HOT SPRINGS                 120"
-119.87900, 34.53700, "SAN MARCOS HOT SPRING                110"
-120.66600, 35.58200, "SANTA YSABEL SPRINGS (SULPHUR SPR)    92"
-116.42200, 35.68200, "SARATOGA SPRING                       82"
-121.56500, 36.93800, "SARGENT ESTATE WARM SPRING            77"
-118.47300, 35.62000, "SCOVERN HOT SPRINGS                  133"
-122.68900, 38.87300, "SEIGLER SPRINGS                      126"
-120.32500, 40.56800, "SELLICKS SPRINGS                      72"
-118.99800, 34.59600, "SESPE HOT SPRINGS                    194"
-120.10200, 41.61500, "SEYFERTH HOT SPRINGS                 185"
-116.35900, 35.58800, "SHEEP CREEK SPRING                    73"
-116.27300, 35.97800, "SHOSHONE SPRING                       90"
-123.02400, 38.69100, "SKAGGS SPRINGS                       135"
-121.64000, 36.12300, "SLATES HOT SPRINGS                   122"
-116.92700, 33.80000, "SOBODA HOT SPRINGS                   102"
-118.81600, 36.13000, "SODA SPRING                           72"
-122.57200, 38.95000, "SODA SPRING IN CACHE FORMATION        72"
-118.17600, 36.21000, "SODA SPRINGS                         100"
-116.10100, 35.14100, "SODA STATION SPRINGS                  75"
-122.65300, 38.83800, "SPIERS SPRINGS                        79"
-117.60400, 33.51400, "SPRING                                95"
-120.76400, 41.48400, "SPRING                                81"
-120.90100, 36.76500, "SPRING                                81"
-121.03600, 40.01900, "SPRING                                99"
-118.65100, 35.53600, "SPRING (HOT)                           W"
-121.04200, 37.08300, "SPRING IN ONEILL FOREBAY              70"
-116.25800, 35.88800, "SPRINGS                                W"
-117.89300, 36.49500, "SPRINGS                               86"
-118.72000, 37.63500, "SPRINGS                               72"
-121.96500, 37.92900, "SPRINGS                                W"
-120.47500, 41.19600, "SPRINGS                                W"
-118.73500, 37.71900, "SPRINGS                               75"
-119.90300, 43.51300, "SPRINGS AT TECOLOTE TUNNEL            93"
-120.06600, 41.21900, "SQUAW BATHS                          106"
-122.49800, 38.49000, "ST HELENA WHITE SULPHUR SPRING        97"
-119.34100, 34.49800, "STINGLEYS HOT SPRINGS                123"
-122.74700, 40.22300, "STINKING SPRINGS                     101"
-122.66400, 39.00200, "SULPHUR BANK                         156"
-122.77700, 38.78800, "SULPHUR CREEK                        120"
-121.84500, 36.61800, "SULPHUR HOT SPRING                   100"
-122.04600, 37.92400, "SULPHUR SPRING                        75"
-122.52500, 39.08800, "SULPHUR SPRING                        68"
-122.53800, 39.43000, "SULPHUR SPRING SALT SPRING           75"
-120.98500, 36.29500, "SULPHUR SPRINGS                       73"
